Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	delay	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	HF	mouth	crack	sister	revenge	ability	331	116	51	257	179	250	2	crack	116	646.076151901465	175.152117144242	1199.51761851967	700.348458715631	1150.85838458279	273.271843580065	450.251974085906	614.980421737546	846.980962574913	924.939078062557
1		TestProc	LF	empathy	blitz	gentry	marvel	lumbar	86	11	305	156	219	350	1	empathy	86	1239.02562010393	497.09741050235	916.323598150618	132.349126620934	512.339182284403	295.569425459582	1002.69465723032	890.41818305704	588.271843580065	835.858384582788
1		TestProc	LF	turnip	hickory	pusher	peril	phobia	155	231	296	92	16	350	3	pusher	296	1009.04730469628	887.52311481466	529.141615417212	776.728156419935	480.482381480333	349.651541284369	1239.75633080764	538.959798681	950.2549423268	140.495321624672
1		TestProc	LF	golfer	tribune	hernia	nugget	anomaly	57	132	347	266	197	150	3	hernia	347	1175.46822717817	307.144385993989	1137.25793019096	792.652242543543	750.019578262454	135.251974085906	440.97437989607	552.90258949765	723.051318110905	907.521902385214
1		TestProc	HF	bridge	payment	captain	bingo	taste	246	312	95	16	164	350	3	captain	95	474.58181694296	687.69465723032	542.742069809042	257.347757456457	1238.4778792367	559.862297099063	950.2549423268	140.495321624672	950.2549423268	909.504678375327
1		TestProc	LF	plank	cluster	liner	walnut	exhale	77	356	226	139	295	150	4	walnut	139	1229.74802591409	435.019578262454	812.09741050235	125.97437989607	552.26407986454	802.863348183599	1102.4236115962	826.883832089109	477.47688518534	355.95269530372
1		TestProc	HF	flight	shelter	trailer	sucker	channel	226	296	163	18	92	350	4	sucker	18	552.26407986454	802.863348183599	480.482381480333	349.651541284369	956.948681889095	907.521902385214	963.606797749979	144.577393481939	1239.75633080764	538.959798681
1		TestProc	HF	studio	crowd	stuff	letter	tower	127	55	200	261	347	350	1	studio	127	1159.45420401892	765.726009260819	1167.6608177156	295.569425459582	703.191942669732	900.877048314363	444.924663761945	587.573786016092	750.019578262454	135.251974085906
1		TestProc	LF	mower	borough	guild	malice	bondage	212	352	58	132	285	150	1	mower	212	628.032294306718	864.219238462571	784.330759615974	128.892772503372	1179.21923846257	313.032294306718	1137.25793019096	792.652242543543	453.629669484373	421.472381958992
1		TestProc	HF	driver	liberty	month	glove	album	19	82	206	143	300	350	5	album	300	970.227261782863	146.792569760273	1236.10722749663	469.330759615974	664.651541284369	884.517618519667	1080.72600926082	844.454204018917	493.589838486225	325
