Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	delay	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	HF	buster	force	string	fashion	throat	116	350	53	284	203	150	5	throat	203	1199.51761851967	700.348458715631	770.540728933227	131.076898795117	1159.45420401892	284.273990739181	451.881709489601	428.231241760133	683.707548604291	893.201941380976
1		TestProc	HF	secret	outfit	cruise	stuff	cowboy	16	242	149	306	78	350	3	cruise	149	950.2549423268	140.495321624672	486.820962856429	712.788625114356	1046.01522996402	867.866920280845	516.393202250021	289.885899083011	1231.25904029352	441.835323672896
1		TestProc	LF	grate	bellboy	quail	statute	keyhole	138	272	208	336	55	150	3	quail	208	1107.65224254354	822.257930190958	440.243669192362	511.040201318999	652.211374885644	878.179037143571	677.30534276968	159.58181694296	1167.6608177156	295.569425459582
1		TestProc	HF	poison	bunny	supper	river	police	167	94	21	255	320	250	2	bunny	94	929.980421737546	914.748025914094	1239.02562010393	552.90258949765	983.34717981812	151.567829401119	453.629669484373	628.527618041008	582.884956125384	218.582222752409
1		TestProc	LF	sadist	golfing	sentry	eggnog	wartime	49	110	275	343	199	350	2	golfing	110	1141.88383208911	262.576388403797	1215.87704831436	661.808057330268	441.522120763302	490.137702900937	723.051318110906	142.478097614786	709.772738217137	903.207430239727
1		TestProc	HF	eagle	lemon	whale	sailor	judge	31	247	317	92	177	250	3	whale	317	1046.01522996402	182.133079719155	471.798058619024	681.29245139571	567.200655975001	232.458519352332	1239.75633080764	538.959798681	860.934382497177	924.45181390183
1		TestProc	HF	moment	stomach	shadow	moron	review	298	102	6	164	235	150	1	moment	298	486.820962856429	337.211374885644	1231.25904029352	608.164676327104	881.811385307061	127.191241852691	950.2549423268	909.504678375327	512.339182284403	754.430574540419
1		TestProc	LF	gunmen	famine	vicar	allergy	bowler	271	143	206	47	344	250	2	famine	143	440.060921937443	518.019037425087	1080.72600926082	844.454204018917	664.651541284369	884.517618519667	1132.54148064767	252.200655975001	729.7450576732	140.495321624673
1		TestProc	HF	flash	master	damage	target	stone	204	126	265	348	64	350	1	flash	204	677.30534276968	890.41818305704	1163.60679774998	760.114100916989	441.522120763302	559.862297099063	756.835323672896	133.740959706478	1199.51761851967	349.651541284369
1		TestProc	LF	blender	condor	modem	feller	pimple	330	261	200	49	137	350	3	modem	200	640	178.589838486225	444.924663761945	587.573786016092	703.191942669732	900.877048314363	1141.88383208911	262.576388403797	1112.799344025	817.541480647668
1		TestProc	LF	bonsai	takeout	turban	hatchet	cadaver	82	159	297	228	6	350	4	hatchet	228	1236.10722749663	469.330759615974	983.34717981812	898.432170598881	483.597390324653	343.403800104181	542.742069809042	792.652242543543	881.811385307061	127.191241852691
1		TestProc	HF	silver	salad	plant	guest	party	274	81	143	212	359	250	1	silver	274	440.97437989607	497.09741050235	1235.07533623806	462.426213983908	1080.72600926082	844.454204018917	628.032294306718	864.219238462571	833.019037425086	125.060921937443
1		TestProc	LF	slammer	crease	lockup	ration	aunty	215	78	1	144	276	150	1	slammer	215	610.569425459582	852.660817715597	1231.25904029352	441.835323672896	846.980962574913	125.060921937443	1075.11410091699	848.606797749979	442.191241852691	483.188614692939
1		TestProc	LF	brooch	liege	prowl	plank	listing	219	73	156	294	356	150	2	liege	73	588.271843580065	835.858384582788	1222.52190238521	408.051318110905	1002.69465723032	890.41818305704	474.58181694296	362.30534276968	812.09741050235	125.97437989607
1		TestProc	LF	invoice	pokey	fluff	banter	tyranny	229	6	154	88	290	150	4	banter	88	538.116167910891	787.423611596203	881.811385307061	127.191241852691	1015.34845871563	884.517618519667	1239.75633080764	511.040201319	464.122951685637	388.191942669733
1		TestProc	HF	madam	ranch	project	dozen	officer	237	108	45	326	169	150	4	dozen	326	504.53177282183	742.855614006011	1220.42260651806	648.606797749979	1122.84271247462	242.157287525381	616.322838611701	193.384970977983	916.323598150618	917.650873379066
1		TestProc	LF	roundup	quartet	fluke	kicker	wrapper	337	123	194	271	58	350	5	wrapper	58	683.70754860429	156.798058619024	1175.46822717817	742.855614006011	743.231241760133	913.118290510399	440.060921937443	518.019037425087	1179.21923846257	313.032294306718
1		TestProc	LF	puddle	rubble	debrief	vinyl	faucet	329	187	126	263	42	250	5	faucet	42	633.984770035978	182.133079719155	791.252262637941	922.018460656529	1163.60679774998	760.114100916989	442.981539343471	573.747737362059	1107.65224254354	227.742069809042
1		TestProc	HF	album	fairy	music	people	border	19	227	86	163	302	250	5	border	302	970.227261782863	146.792569760273	547.458519352332	797.799344025	1239.02562010393	497.09741050235	956.948681889095	907.521902385214	500.78076153743	313.032294306718
1		TestProc	LF	learner	donut	eunuch	raffle	canteen	201	136	266	334	58	150	5	canteen	58	696.65282018188	898.432170598881	1117.8633481836	812.73592013546	440.97437989607	552.90258949765	664.651541284369	165.482381480333	1179.21923846257	313.032294306718
1		TestProc	LF	helium	scorn	armada	speck	uplink	25	317	224	160	86	350	1	helium	25	1009.04730469628	162.47688518534	567.200655975001	232.458519352332	562.136651816401	812.73592013546	976.808057330268	900.877048314363	1239.02562010393	497.09741050235
1		TestProc	HF	torture	bowling	vision	nephew	beauty	97	163	236	307	36	250	4	nephew	307	1237.01846065653	573.747737362059	956.948681889095	907.521902385214	508.384970977983	748.677161388299	520.545795981083	284.273990739181	1075.11410091699	201.393202250021
1		TestProc	LF	cynic	fencing	chrome	escrow	adder	68	212	134	298	6	250	1	cynic	68	1210.87354182671	375.157362633635	628.032294306718	864.219238462571	1127.73592013546	802.863348183599	486.820962856429	337.211374885644	881.811385307061	127.191241852691
1		TestProc	LF	pottery	cello	ethic	pelican	manger	84	8	167	295	233	250	4	pelican	295	1237.80875814731	483.188614692939	895.669240384026	128.892772503372	929.980421737546	914.748025914094	477.47688518534	355.95269530372	520.545795981083	765.726009260819
1		TestProc	HF	chamber	timing	lecture	liquor	wagon	169	87	313	25	231	150	3	lecture	313	916.323598150618	917.650873379066	1239.45181390183	504.065617502822	547.458519352332	252.200655975001	1009.04730469628	162.47688518534	529.141615417212	776.728156419935
1		TestProc	HF	stock	crowd	museum	traffic	section	9	297	236	160	72	150	2	crowd	297	902.573786016092	129.924663761945	483.597390324653	343.403800104181	508.384970977983	748.677161388299	976.808057330268	900.877048314363	1220.42260651806	401.393202250021
1		TestProc	HF	tiger	verdict	whistle	shower	energy	142	274	209	343	74	350	4	shower	343	1086.26459013026	840.204301442689	440.97437989607	497.09741050235	646.076151901465	874.847882855758	723.051318110906	142.478097614786	1224.50467837533	414.7450576732
1		TestProc	LF	mockery	exhale	skillet	blimp	bribery	99	237	310	17	176	250	3	skillet	310	1235.07533623806	587.573786016092	504.53177282183	742.855614006011	533.582222752409	267.884956125384	956.948681889095	142.478097614786	867.90258949765	924.02562010393
1		TestProc	HF	benefit	sauce	uniform	middle	forest	171	237	299	38	104	350	2	sauce	237	902.573786016092	920.075336238055	504.53177282183	742.855614006011	490.152117144242	331.076151901465	1086.26459013026	209.795698557311	1228.1182905104	621.768758239867
1		TestProc	HF	crush	apology	amount	option	career	66	356	288	225	152	350	5	career	152	1205.41818305704	362.30534276968	812.09741050235	125.97437989607	459.577393481939	401.393202250021	557.157287525381	807.842712474619	1027.78862511436	878.179037143571
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	LF	rhino	replica	trucker	graft	heroine	90	319	258	23	164	150	3	trucker	258	1240	525	577.576388403797	223.116167910891	448.740959706478	608.164676327104	996.292451395709	156.798058619024	950.2549423268	909.504678375327
1		TestProc	HF	effect	liver	hostage	bargain	kitchen	245	109	320	33	170	150	1	effect	245	477.47688518534	694.04730469628	1218.20743023973	655.227261782863	582.884956125384	218.582222752409	1057.85561400601	189.53177282183	909.459271066772	918.923101204883
1		TestProc	LF	stripe	fossil	occult	enzyme	pouch	323	99	37	168	232	150	2	fossil	99	599.273990739181	205.545795981083	1235.07533623806	587.573786016092	1080.72600926082	205.545795981083	923.164676327104	916.259040293522	524.795698557311	771.264590130263
1		TestProc	LF	bouncer	tempo	sitter	steamer	ferret	67	147	213	290	358	150	5	ferret	358	1208.20194138098	368.70754860429	1057.85561400601	860.46822717817	622.144385993989	860.46822717817	464.122951685637	388.191942669733	826.040201319	125.243669192362
1		TestProc	HF	science	plane	poetry	trauma	lunch	345	127	215	50	278	250	4	trauma	50	736.472381958992	138.629669484373	1159.45420401892	765.726009260819	610.569425459582	852.660817715597	1146.41777724759	267.884956125384	443.892772503372	469.330759615974
1		TestProc	LF	vector	persona	fringe	gauze	midtown	163	312	238	99	22	250	3	fringe	238	956.948681889095	907.521902385214	542.742069809042	257.347757456457	500.78076153743	736.967705693282	1235.07533623806	587.573786016092	989.842637366365	154.126458173285
1		TestProc	LF	lyric	turmoil	podium	libido	decay	134	287	349	213	55	350	2	turmoil	287	1127.73592013546	802.863348183599	457.478097614786	408.051318110905	763.676401849382	132.349126620934	622.144385993989	860.46822717817	1167.6608177156	295.569425459582
1		TestProc	HF	skirt	birth	tunnel	buddy	dining	154	252	83	315	22	150	3	tunnel	83	1015.34845871563	884.517618519667	459.577393481939	648.606797749979	1237.01846065653	476.252262637941	557.157287525381	242.157287525381	989.842637366365	154.126458173285
1		TestProc	LF	sleeper	homage	quitter	tarot	pretext	290	18	156	222	88	350	3	quitter	156	464.122951685637	388.191942669733	963.606797749979	144.577393481939	1002.69465723032	890.41818305704	572.347757456457	822.257930190958	1239.75633080764	511.040201319
1		TestProc	LF	forearm	geezer	trainee	whatnot	rapper	281	76	204	13	143	350	5	rapper	143	447.349126620934	448.676401849382	1228.1182905104	428.231241760133	677.30534276968	890.41818305704	929.980421737546	135.251974085906	1080.72600926082	844.454204018917
1		TestProc	HF	meaning	breath	garden	chick	suspect	315	20	242	166	92	350	2	breath	20	557.157287525381	242.157287525381	976.808057330268	149.122951685637	486.820962856429	712.788625114356	936.768758239867	913.118290510399	1239.75633080764	538.959798681
1		TestProc	LF	fleece	varsity	maxim	eyebrow	deficit	107	32	329	190	260	250	2	varsity	32	1222.52190238521	641.948681889095	1051.96770569328	185.78076153743	633.984770035978	182.133079719155	770.540728933228	918.923101204883	446.076898795117	594.459271066772
1		TestProc	LF	shaker	bazaar	possum	wench	archive	234	21	111	314	172	150	4	wench	314	516.393202250021	760.114100916989	983.34717981812	151.567829401119	1213.43217059888	668.34717981812	552.264079864539	247.136651816401	895.669240384026	921.107227496628
1		TestProc	LF	blaster	commune	malice	hormone	savvy	174	240	301	88	18	250	5	savvy	18	881.811385307062	922.808758147309	493.589838486225	725	497.133079719155	318.984770035978	1239.75633080764	511.040201319	963.606797749979	144.577393481939
1		TestProc	HF	culture	holiday	potato	closet	policy	178	303	82	242	12	350	3	potato	82	853.959798681	924.756330807638	504.53177282183	307.144385993989	1236.10722749663	469.330759615974	486.820962856429	712.788625114356	923.164676327104	133.740959706478
1		TestProc	HF	butter	screen	snake	general	wisdom	241	171	306	26	105	250	1	butter	241	490.152117144242	718.923848098535	902.573786016092	920.075336238055	516.393202250021	289.885899083011	1015.34845871563	165.482381480333	1226.37033051563	628.527618041008
1		TestProc	LF	toupee	fiasco	starch	ballast	zephyr	158	97	233	303	10	250	1	toupee	158	989.842637366365	895.873541826715	1237.01846065653	573.747737362059	520.545795981083	765.726009260819	504.53177282183	307.144385993989	909.459271066772	131.076898795117
1		TestProc	HF	shirt	destiny	window	surgery	thumb	81	228	6	302	164	350	4	surgery	302	1235.07533623806	462.426213983908	542.742069809042	792.652242543543	881.811385307061	127.191241852691	500.78076153743	313.032294306718	950.2549423268	909.504678375327
1		TestProc	LF	mango	apostle	ironing	optic	alamo	48	182	322	252	120	250	4	optic	252	1137.25793019096	257.347757456457	826.040201319	924.756330807638	593.735409869736	209.795698557311	459.577393481939	648.606797749979	1186.41016151378	725
1		TestProc	HF	table	teeth	lance	avenue	queen	317	33	163	95	238	350	1	table	317	567.200655975001	232.458519352332	1057.85561400601	189.53177282183	956.948681889095	907.521902385214	1238.4778792367	559.862297099063	500.78076153743	736.967705693282
1		TestProc	LF	granite	kappa	burrito	luger	forgery	52	349	200	124	268	350	1	granite	52	1155.20430144269	278.735409869737	763.676401849382	132.349126620934	703.191942669732	900.877048314363	1171.61502902202	748.677161388299	440.243669192362	538.959798681001
1		TestProc	HF	safety	towel	effort	curtain	massage	321	177	110	30	258	150	5	massage	258	588.271843580065	214.141615417212	860.934382497177	924.45181390183	1215.87704831436	661.808057330268	1040	178.589838486224	448.740959706478	608.164676327104
1		TestProc	HF	warning	agency	vampire	board	cabin	106	253	320	178	40	250	2	agency	253	1224.50467837533	635.2549423268	457.478097614786	641.948681889095	582.884956125384	218.582222752409	853.959798681	924.756330807638	1097.11504387462	218.582222752409
1		TestProc	LF	workmen	sabbath	whirl	format	inhaler	111	280	211	43	342	350	4	format	43	1213.43217059888	668.34717981812	446.076898795117	455.540728933228	633.984770035978	867.866920280845	1112.799344025	232.458519352332	716.393202250021	144.577393481939
1		TestProc	HF	booze	salary	light	dollar	angle	280	139	68	203	355	250	3	light	68	446.076898795117	455.540728933228	1102.4236115962	826.883832089109	1210.87354182671	375.157362633635	683.707548604291	893.201941380976	805.137702900937	126.522120763302
1		TestProc	HF	subway	skull	perfume	offense	valley	92	174	15	240	303	150	2	skull	174	1239.75633080764	538.959798681	881.811385307062	922.808758147309	943.527618041008	138.629669484373	493.589838486225	725	504.53177282183	307.144385993989
1		TestProc	HF	truth	coward	chopper	death	contest	227	163	297	101	28	250	5	contest	28	547.458519352332	797.799344025	956.948681889095	907.521902385214	483.597390324653	343.403800104181	1232.65087337907	601.323598150618	1027.78862511436	171.820962856429
1		TestProc	LF	dodger	pinball	baptism	strife	genre	332	173	235	44	111	150	1	dodger	332	652.211374885644	171.820962856429	888.747737362059	922.018460656529	512.339182284403	754.430574540419	1117.8633481836	237.264079864539	1213.43217059888	668.34717981812
1		TestProc	HF	speed	proof	sunset	turkey	writer	272	195	41	336	120	150	4	turkey	336	440.243669192362	511.040201318999	736.472381958992	911.370330515627	1102.4236115962	223.116167910891	677.30534276968	159.58181694296	1186.41016151378	725
1		TestProc	HF	toast	couple	shape	jungle	account	95	324	186	250	32	350	5	account	32	1238.4778792367	559.862297099063	604.885899083011	201.393202250021	798.188614692939	922.808758147309	464.122951685637	661.808057330268	1051.96770569328	185.78076153743
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	LF	adviser	almond	lowdown	kingpin	lotto	83	151	285	222	355	150	5	lotto	355	1237.01846065653	476.252262637941	1033.92384809853	874.847882855758	453.629669484373	421.472381958992	572.347757456457	822.257930190958	805.137702900937	126.522120763302
1		TestProc	HF	diamond	college	vehicle	casino	theory	135	207	352	271	67	350	3	vehicle	352	1122.84271247462	807.842712474619	658.403800104182	881.402609675347	784.330759615974	128.892772503372	440.060921937443	518.019037425087	1208.20194138098	368.70754860429
1		TestProc	HF	cheese	pardon	piece	respect	pistol	273	112	206	39	334	150	1	cheese	273	440.54818609817	504.065617502822	1210.87354182671	674.842637366365	664.651541284369	884.517618519667	1091.72815641993	214.141615417212	664.651541284369	165.482381480333
1		TestProc	LF	rowing	watcher	custard	dialect	bondage	263	124	333	53	192	250	5	bondage	192	442.981539343471	573.747737362059	1171.61502902202	748.677161388299	658.403800104181	168.597390324653	1159.45420401892	284.273990739181	756.835323672896	916.259040293522
1		TestProc	LF	rigging	perch	stickup	gloom	troupe	357	71	296	164	233	250	2	perch	71	819.065617502822	125.54818609817	1218.20743023973	394.772738217137	480.482381480333	349.651541284369	950.2549423268	909.504678375327	520.545795981083	765.726009260819
1		TestProc	LF	goober	caramel	farming	wreath	necktie	282	140	355	202	76	150	2	caramel	140	448.740959706478	441.835323672897	1097.11504387462	831.417777247591	805.137702900937	126.522120763302	690.157362633635	895.873541826715	1228.1182905104	428.231241760133
1		TestProc	HF	freak	money	nation	tower	defense	193	341	51	131	277	350	4	tower	131	750.019578262454	914.748025914094	709.772738217137	146.792569760273	1150.85838458279	273.271843580065	1141.88383208911	787.423611596203	442.981539343471	476.252262637941
