Weight	Nested	Procedure	dom_freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	freq1	freq2	freq3	freq4	freq5	freq_config
1		TestProc	LF	curse	winner	kiddie	gazette	steamer	184	319	256	112	26	750	4	gazette	112	812.09741050235	924.02562010393	577.576388403797	223.116167910891	451.881709489601	621.768758239867	1210.87354182671	674.842637366365	1015.34845871563	165.482381480333	HF	HF	LF	LF	LF	9
1		TestProc	LF	syringe	fighter	staple	table	albino	226	290	360	152	88	750	3	staple	360	552.26407986454	802.863348183599	464.122951685637	388.191942669733	840	125	1027.78862511436	878.179037143571	1239.75633080764	511.040201319	LF	HF	LF	HF	LF	4
1		TestProc	LF	smile	reward	scamp	hyena	bondage	283	144	350	215	81	500	1	smile	283	450.251974085906	435.019578262454	1075.11410091699	848.606797749979	770.540728933227	131.076898795117	610.569425459582	852.660817715597	1235.07533623806	462.426213983908	HF	HF	LF	LF	LF	9
1		TestProc	HF	jacket	horse	youth	maggot	llama	229	25	93	163	307	500	3	youth	93	538.116167910891	787.423611596203	1009.04730469628	162.47688518534	1239.45181390183	545.934382497177	956.948681889095	907.521902385214	520.545795981083	284.273990739181	HF	HF	HF	LF	LF	0
1		TestProc	HF	groin	dealer	dodger	vampire	coast	107	318	33	249	178	500	1	groin	107	1222.52190238521	641.948681889095	572.347757456457	227.742069809042	1057.85561400601	189.53177282183	466.567829401119	668.34717981812	853.959798681	924.756330807638	LF	HF	LF	HF	HF	8
1		TestProc	LF	lullaby	blowout	lorry	alarm	thumb	31	101	182	258	322	750	1	lullaby	31	1046.01522996402	182.133079719155	1232.65087337907	601.323598150618	826.040201319	924.756330807638	448.740959706478	608.164676327104	593.735409869736	209.795698557311	LF	LF	LF	HF	HF	0
1		TestProc	LF	decree	anarchy	coffee	squad	sleeper	174	108	317	36	250	1000	3	coffee	317	881.811385307062	922.808758147309	1220.42260651806	648.606797749979	567.200655975001	232.458519352332	1075.11410091699	201.393202250021	464.122951685637	661.808057330268	LF	LF	HF	HF	LF	2
1		TestProc	LF	vicar	ocean	healer	gauze	friend	49	285	346	202	117	500	3	healer	346	1141.88383208911	262.576388403797	453.629669484373	421.472381958992	743.231241760133	136.881709489601	690.157362633635	895.873541826715	1196.40260967535	706.596199895819	LF	HF	LF	LF	HF	3
1		TestProc	LF	tragedy	wreath	tarot	league	intro	80	144	226	11	310	750	2	wreath	144	1233.92310120488	455.540728933228	1075.11410091699	848.606797749979	552.26407986454	802.863348183599	916.323598150618	132.349126620934	533.582222752409	267.884956125384	HF	LF	LF	HF	LF	7
1		TestProc	HF	grade	satchel	sweetie	routine	vinegar	23	114	320	178	254	750	2	satchel	114	996.292451395709	156.798058619024	1205.41818305704	687.69465723032	582.884956125384	218.582222752409	853.959798681	924.756330807638	455.495321624672	635.2549423268	HF	LF	HF	HF	LF	3
1		TestProc	HF	motel	egghead	export	alcohol	ground	44	198	130	333	270	500	5	ground	270	1117.8633481836	237.264079864539	716.393202250021	905.422606518061	1146.41777724759	782.115043874616	658.403800104181	168.597390324653	440	525	HF	LF	LF	HF	HF	5
